Unnamed: 0,label,content,drop2,drop3
0,"Sales, Interested","Dear Tech Innovators Team, I'm John from FinGrow Solutions. We're looking for a tech partner to help us enhance our financial analytics platform. Could we discuss potential collaborations?",No,
1,"Sales, Interested","Hello NextGen Tech, Sarah from HealthWave here. We're exploring tech partnerships to develop a new health monitoring app. I'd love to chat about how we can work together.",No,
2,"Sales, Interested","Greetings FutureSoft, Mark from EduBright here. We're keen to collaborate on creating an interactive learning management system. Are you available for a discussion next week?",No,
3,"Sales, Interested","Hi VisionTech, this is Alice from GreenEnergy Co. We're looking for a tech firm to assist in developing a renewable energy management system. Let's schedule a call to explore this.",No,
4,"Sales, Interested","Dear Innovatech Team, Bob from RetailConnect here. We're interested in integrating advanced tech solutions into our retail platforms. Can we arrange a meeting to discuss further?",No,
5,"Sales, Interested","Hello QuantumTech, I'm Lisa from TravelEase. We're seeking a technology partner to help develop a new travel booking platform. Could we set up a time to talk?",No,
6,"Sales, Interested","Hi DigitalWave, Tom from BuildSmart here. We're looking to enhance our construction project management software and need a tech partner. Let's discuss potential collaboration.",No,
7,"Sales, Interested","Dear AlphaTech Team, Samantha from FoodSecure here. We need a tech solution for better inventory management in our food supply chain. Could we explore working together?",No,
8,"Sales, Interested","Hello TitanTech, I'm Daniel from EventPulse. We're developing a new event management app and need tech expertise. Can we set up a meeting to discuss collaboration?",No,
9,"Sales, Interested","Hi SmartInnovations, Kevin from AutoMotive Co. here. We're interested in integrating AI into our vehicle systems. Could we arrange a call to explore partnership opportunities?",No,
10,"Sales, Interested","Dear TechLeads Team, I'm Rachel from SecureHomes. We need a tech partner to develop a smart home security system. Can we discuss this in a meeting?",No,
11,"Sales, Interested","Hello CoreTech, Peter from HealthWise here. We're seeking a technology firm to help us build a patient management system. Let's schedule a call to discuss potential collaboration.",No,
12,"Sales, Interested","Hi InnovisionTech, Jessica from FashionForward here. We're looking to integrate tech into our fashion retail business. Could we set up a time to talk about how we can work together?",No,
13,"Sales, Interested","Dear BlueTech Team, I'm Andrew from FarmFresh. We're interested in developing a tech solution for precision farming. Could we discuss potential partnerships?",No,
14,"Sales, Interested","Hello StarTech, Kate from EduQuest here. We're seeking a tech partner to help create an innovative e-learning platform. Can we arrange a meeting to explore this?",No,
